Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,TotalPerformance
56,female,group E,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,> 10,84,86,87,high
57,male,group D,associate's degree,standard,none,single,sometimes,no,2.0,private,5 - 10,52,55,49,low
58,male,group D,,standard,completed,married,regularly,no,1.0,private,> 10,61,60,60,low
59,female,group C,some high school,free/reduced,none,single,regularly,yes,3.0,school_bus,> 10,0,17,10,low
61,male,group A,some high school,free/reduced,none,married,sometimes,yes,,school_bus,5 - 10,39,39,34,low
62,male,group A,associate's degree,free/reduced,none,married,sometimes,yes,5.0,private,5 - 10,62,61,55,low
64,female,group D,some high school,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,59,58,59,low
65,male,group B,some high school,standard,none,married,never,yes,1.0,private,< 5,63,62,58,low
66,male,group D,some high school,free/reduced,none,married,sometimes,yes,4.0,school_bus,5 - 10,45,37,37,low
67,female,group C,some college,standard,none,married,regularly,no,3.0,school_bus,5 - 10,61,73,75,medium
68,male,group B,associate's degree,free/reduced,none,divorced,regularly,no,3.0,school_bus,,62,58,57,low
69,female,group C,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,5 - 10,39,64,57,low
71,male,group D,some college,standard,completed,divorced,sometimes,yes,3.0,private,> 10,64,55,64,low
72,female,group A,associate's degree,free/reduced,none,single,regularly,yes,1.0,private,5 - 10,42,51,49,low
73,male,group C,some high school,free/reduced,none,divorced,never,yes,3.0,school_bus,5 - 10,59,56,54,low
74,male,group C,some high school,standard,,married,sometimes,yes,2.0,private,< 5,47,48,40,low
75,male,group B,associate's degree,free/reduced,none,divorced,sometimes,no,,school_bus,5 - 10,44,41,38,low
76,male,group E,some high school,standard,none,,sometimes,no,5.0,school_bus,5 - 10,28,25,21,low
77,male,group A,,standard,completed,,regularly,yes,,,5 - 10,82,79,83,medium
78,female,group D,some high school,standard,completed,divorced,sometimes,yes,2.0,school_bus,> 10,62,75,73,medium
79,female,group E,master's degree,standard,none,divorced,never,yes,1.0,school_bus,5 - 10,60,68,68,low
80,female,group B,associate's degree,standard,none,married,regularly,yes,0.0,private,> 10,49,50,52,low
81,male,group B,high school,free/reduced,none,married,sometimes,yes,0.0,private,,49,45,45,low
82,male,group A,some college,free/reduced,completed,married,sometimes,no,,school_bus,5 - 10,50,47,54,low
83,male,group E,associate's degree,standard,none,married,regularly,yes,0.0,private,5 - 10,74,64,64,low
84,male,group D,high school,free/reduced,none,married,never,,3.0,private,5 - 10,40,38,33,low
85,female,group C,some college,standard,none,divorced,sometimes,yes,0.0,private,5 - 10,73,80,82,medium
86,female,group C,some college,free/reduced,none,married,sometimes,yes,,school_bus,< 5,73,81,86,medium
87,female,group D,associate's degree,standard,none,single,sometimes,yes,0.0,private,5 - 10,71,71,74,medium
88,female,group A,some college,standard,none,divorced,regularly,yes,3.0,school_bus,< 5,57,69,67,low
89,female,group D,some high school,standard,none,single,sometimes,yes,,private,> 10,75,87,83,medium
91,male,group C,high school,free/reduced,none,divorced,regularly,no,4.0,,5 - 10,27,34,36,low
92,male,group C,high school,standard,none,divorced,sometimes,no,1.0,,< 5,68,77,69,medium
93,male,group C,associate's degree,free/reduced,completed,married,regularly,no,3.0,private,> 10,45,46,52,low
94,female,group B,some college,standard,none,married,regularly,yes,4.0,private,5 - 10,81,87,94,high
96,male,group B,some high school,standard,completed,married,regularly,yes,5.0,school_bus,5 - 10,63,65,61,low
97,female,,some college,standard,completed,married,never,yes,0.0,school_bus,< 5,59,69,66,low
98,female,group D,some college,free/reduced,none,single,regularly,yes,2.0,,> 10,61,69,64,low
99,female,group D,bachelor's degree,standard,none,married,regularly,yes,3.0,school_bus,< 5,64,66,62,low
100,male,group B,some college,standard,none,married,sometimes,no,7.0,school_bus,5 - 10,79,67,67,medium
101,male,group D,bachelor's degree,standard,completed,single,sometimes,no,1.0,private,5 - 10,68,74,74,medium
102,female,group D,associate's degree,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,87,92,91,high
103,male,group B,high school,standard,completed,married,regularly,no,3.0,school_bus,5 - 10,61,44,48,low
104,male,,some college,standard,completed,married,regularly,yes,1.0,school_bus,> 10,100,88,94,high
105,female,group C,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,58,67,72,low
106,female,group D,master's degree,standard,none,married,sometimes,no,3.0,private,5 - 10,87,100,100,high
107,male,group E,,standard,completed,single,sometimes,yes,0.0,school_bus,5 - 10,66,63,64,low
108,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,52,76,70,low
109,female,group B,some high school,standard,none,single,regularly,no,3.0,school_bus,5 - 10,72,64,73,medium
110,female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,4.0,school_bus,> 10,79,90,99,high
111,male,group C,high school,standard,none,single,regularly,no,6.0,,5 - 10,63,55,50,low
112,male,group A,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,54,53,47,low
113,female,group D,some college,standard,none,married,never,yes,1.0,school_bus,< 5,47,56,51,low
114,female,group E,bachelor's degree,standard,completed,married,regularly,yes,3.0,school_bus,< 5,98,99,100,high
115,male,group C,high school,standard,none,married,sometimes,yes,4.0,private,5 - 10,84,77,74,medium
116,female,group B,bachelor's degree,free/reduced,none,single,never,no,1.0,school_bus,5 - 10,72,83,79,medium
117,female,group D,bachelor's degree,standard,none,married,never,no,2.0,private,5 - 10,75,80,77,medium
118,female,group D,some high school,standard,none,single,regularly,yes,0.0,private,> 10,54,64,63,low
119,female,group C,some college,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10,55,69,65,low
120,female,group C,bachelor's degree,standard,completed,married,never,yes,1.0,school_bus,5 - 10,76,90,86,medium
121,male,group B,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,< 5,88,87,90,high
122,female,group C,some college,standard,completed,single,regularly,yes,1.0,,5 - 10,90,94,95,high
123,male,group D,high school,free/reduced,none,married,sometimes,no,3.0,private,,63,57,56,low
124,male,group E,some college,standard,none,single,regularly,no,3.0,school_bus,< 5,82,79,73,medium
125,female,group B,high school,standard,none,single,never,yes,2.0,school_bus,> 10,86,94,85,high
126,male,group B,,standard,none,married,,no,3.0,private,5 - 10,72,68,67,low
127,male,group D,some college,standard,,married,regularly,no,3.0,school_bus,< 5,64,76,74,medium
128,male,group D,master's degree,standard,none,single,never,yes,2.0,private,< 5,77,81,72,medium
129,female,group A,bachelor's degree,standard,none,,regularly,yes,0.0,school_bus,5 - 10,52,49,52,low
130,male,group D,master's degree,standard,none,single,sometimes,no,1.0,school_bus,< 5,87,84,82,medium
131,male,group C,some high school,free/reduced,completed,single,regularly,yes,1.0,private,< 5,52,36,40,low
132,male,,some college,free/reduced,completed,married,regularly,yes,2.0,school_bus,5 - 10,89,75,71,medium
133,female,,some college,standard,completed,married,never,no,6.0,,< 5,70,78,80,medium
134,male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1.0,private,> 10,76,80,76,medium
135,male,group C,bachelor's degree,standard,none,married,sometimes,yes,1.0,,< 5,56,54,47,low
136,male,group B,some high school,standard,completed,divorced,sometimes,yes,1.0,private,5 - 10,51,54,41,low
137,male,group E,high school,standard,none,divorced,sometimes,yes,0.0,school_bus,< 5,67,54,54,low
138,female,group C,associate's degree,standard,,married,sometimes,yes,1.0,private,5 - 10,59,66,67,low
139,male,group D,some college,standard,completed,married,sometimes,yes,0.0,private,> 10,73,61,70,low
140,female,group D,some high school,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,76,72,71,medium
141,female,group C,some college,free/reduced,none,married,regularly,no,2.0,private,5 - 10,60,62,65,low
142,female,group E,some college,free/reduced,completed,single,regularly,,1.0,private,< 5,41,54,54,low
143,male,group A,high school,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,57,43,47,low
144,male,group D,some college,standard,none,divorced,sometimes,yes,3.0,private,> 10,90,74,79,medium
145,female,group C,some college,free/reduced,none,single,regularly,yes,1.0,school_bus,< 5,21,38,33,low
148,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1.0,private,< 5,65,73,79,medium
149,male,group E,associate's degree,free/reduced,completed,married,regularly,no,3.0,private,5 - 10,100,100,95,high
150,male,group A,some high school,standard,completed,married,sometimes,no,2.0,private,5 - 10,62,67,69,low
152,female,group B,associate's degree,standard,completed,single,sometimes,yes,2.0,school_bus,< 5,57,68,64,low
153,male,group D,bachelor's degree,standard,none,married,sometimes,no,1.0,,5 - 10,54,49,47,low
154,male,group D,some high school,standard,none,single,never,no,2.0,,< 5,58,65,58,low
155,female,group C,some college,standard,completed,married,regularly,yes,3.0,school_bus,< 5,69,88,88,medium
156,female,group E,high school,free/reduced,completed,married,regularly,yes,1.0,school_bus,5 - 10,67,75,79,medium
157,male,group B,,free/reduced,none,,sometimes,yes,2.0,school_bus,< 5,58,59,58,low
158,female,group B,associate's degree,standard,,divorced,regularly,yes,2.0,private,5 - 10,62,87,89,medium
159,male,group D,associate's degree,free/reduced,none,married,regularly,no,3.0,school_bus,> 10,70,63,66,low
160,male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,2.0,private,5 - 10,82,78,74,medium
161,female,group E,some college,free/reduced,completed,married,sometimes,yes,3.0,school_bus,5 - 10,75,88,85,medium
162,male,group B,master's degree,free/reduced,none,single,never,no,2.0,school_bus,5 - 10,48,53,52,low
163,male,group C,high school,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,52,53,49,low
164,female,group E,master's degree,standard,none,married,never,yes,3.0,private,< 5,76,89,86,medium
165,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,0.0,school_bus,5 - 10,96,100,100,high
166,male,group C,high school,free/reduced,completed,single,sometimes,yes,5.0,private,5 - 10,53,51,51,low
167,female,group B,master's degree,free/reduced,completed,married,regularly,no,1.0,private,> 10,62,79,83,medium
168,female,group B,high school,standard,completed,married,regularly,yes,2.0,private,5 - 10,70,84,79,medium
170,male,group A,high school,standard,completed,divorced,regularly,yes,5.0,school_bus,> 10,76,75,77,medium
171,male,group E,some high school,standard,none,married,sometimes,no,3.0,school_bus,< 5,91,86,76,medium
172,female,group D,some college,standard,none,single,never,yes,3.0,school_bus,5 - 10,76,84,78,medium
173,female,group C,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,63,67,70,low
174,female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,1.0,school_bus,< 5,41,50,52,low
175,female,group C,master's degree,standard,completed,divorced,sometimes,yes,1.0,school_bus,5 - 10,81,92,89,high
176,female,group B,high school,free/reduced,completed,married,sometimes,no,2.0,school_bus,< 5,44,53,56,low
177,female,group C,associate's degree,standard,completed,married,regularly,yes,,school_bus,< 5,70,76,77,medium
178,female,group B,master's degree,free/reduced,completed,divorced,regularly,yes,2.0,school_bus,5 - 10,54,72,65,low
179,female,group D,some high school,standard,completed,divorced,regularly,yes,0.0,school_bus,5 - 10,99,100,100,high
180,male,group C,master's degree,free/reduced,completed,single,sometimes,yes,2.0,private,< 5,60,68,75,low
181,female,group C,some college,free/reduced,none,single,sometimes,yes,1.0,private,5 - 10,46,64,66,low
182,female,group E,high school,standard,none,married,sometimes,yes,3.0,private,,50,50,47,low
183,female,group D,associate's degree,standard,none,single,sometimes,no,,private,< 5,63,67,68,low
185,male,group C,associate's degree,free/reduced,completed,married,never,yes,5.0,private,< 5,61,65,62,low
186,male,group E,high school,standard,none,married,never,yes,1.0,school_bus,< 5,75,73,62,medium
187,male,group D,some high school,standard,completed,married,sometimes,no,4.0,private,5 - 10,62,66,68,low
188,male,group B,some high school,free/reduced,none,married,regularly,no,3.0,school_bus,< 5,47,51,45,low
189,female,group C,bachelor's degree,standard,none,single,sometimes,yes,1.0,school_bus,< 5,74,86,85,medium
190,female,group E,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,66,65,69,low
191,male,group D,some college,standard,completed,married,sometimes,no,2.0,school_bus,< 5,73,81,77,medium
192,female,group B,some high school,standard,none,single,sometimes,no,3.0,private,,62,64,66,low
193,male,group D,some college,standard,completed,married,regularly,yes,4.0,,,79,62,63,low
194,female,group C,master's degree,standard,completed,,regularly,yes,1.0,school_bus,< 5,69,85,87,medium
195,male,group D,associate's degree,standard,none,married,regularly,no,4.0,school_bus,< 5,60,54,52,low
196,male,group C,,free/reduced,completed,married,never,yes,1.0,school_bus,5 - 10,57,67,63,low
197,male,group E,high school,free/reduced,none,married,,no,7.0,private,> 10,56,56,52,low
198,female,group B,some college,free/reduced,none,widowed,regularly,yes,3.0,,> 10,47,54,57,low
199,female,group B,bachelor's degree,free/reduced,,married,regularly,yes,3.0,private,5 - 10,80,80,77,medium
200,female,group C,associate's degree,standard,completed,single,regularly,no,1.0,private,< 5,66,83,86,medium
201,female,group D,some college,free/reduced,none,divorced,sometimes,yes,3.0,school_bus,< 5,63,79,75,medium
202,male,group C,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,69,77,69,medium
203,female,,associate's degree,standard,none,,regularly,yes,2.0,school_bus,5 - 10,58,70,69,low
204,male,group C,some college,standard,none,single,regularly,yes,1.0,,< 5,58,40,42,low
205,male,group D,some high school,standard,completed,married,,yes,,school_bus,< 5,71,69,76,medium
206,male,group E,bachelor's degree,standard,none,married,regularly,yes,4.0,school_bus,5 - 10,84,62,63,medium
207,male,group E,high school,standard,completed,married,regularly,no,2.0,school_bus,5 - 10,83,81,77,medium
208,female,group B,some college,free/reduced,none,married,regularly,yes,1.0,private,< 5,73,80,76,medium
209,female,group B,some college,free/reduced,,single,sometimes,no,2.0,,,58,61,66,low
210,male,group D,some high school,free/reduced,completed,widowed,sometimes,yes,3.0,school_bus,< 5,77,77,77,medium
211,male,group C,some college,free/reduced,,married,sometimes,yes,3.0,school_bus,5 - 10,35,28,27,low
212,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2.0,school_bus,5 - 10,42,62,60,low
213,male,group C,associate's degree,free/reduced,completed,single,regularly,no,1.0,school_bus,5 - 10,61,51,57,low
214,male,group E,high school,standard,,married,sometimes,yes,1.0,private,5 - 10,87,91,81,high
215,male,group B,some high school,standard,completed,,regularly,no,2.0,private,5 - 10,86,84,76,medium
216,female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,3.0,school_bus,< 5,80,84,86,medium
217,female,group C,high school,free/reduced,,married,regularly,no,3.0,,< 5,33,41,39,low
218,male,group B,high school,free/reduced,none,married,sometimes,no,2.0,school_bus,< 5,64,75,68,low
219,male,group B,some high school,standard,completed,single,never,no,1.0,,5 - 10,59,55,54,low
220,female,group D,high school,standard,completed,widowed,regularly,yes,4.0,school_bus,5 - 10,57,69,75,low
221,male,group B,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,> 10,89,86,74,medium
222,female,group C,some high school,free/reduced,,divorced,sometimes,no,3.0,,5 - 10,55,65,62,low
223,male,group D,some high school,standard,none,married,regularly,no,3.0,school_bus,5 - 10,88,81,76,medium
224,female,group B,associate's degree,standard,completed,divorced,regularly,,3.0,school_bus,> 10,55,67,76,low
225,female,group E,master's degree,free/reduced,none,married,sometimes,no,,private,< 5,43,55,52,low
226,female,group C,some college,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,72,72,71,medium
227,male,group D,high school,standard,none,single,regularly,yes,0.0,school_bus,5 - 10,58,50,55,low
228,male,group A,,free/reduced,none,divorced,sometimes,no,4.0,school_bus,5 - 10,68,72,64,low
229,female,group C,some college,standard,completed,married,regularly,yes,3.0,school_bus,> 10,93,97,98,high
230,male,group D,some college,standard,none,married,regularly,yes,0.0,,5 - 10,78,64,67,medium
231,male,group C,associate's degree,standard,none,married,regularly,,1.0,private,5 - 10,47,43,43,low
232,female,group B,bachelor's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,67,86,83,medium
233,male,group E,some high school,standard,none,divorced,sometimes,yes,3.0,school_bus,> 10,94,88,79,high
234,male,group C,bachelor's degree,standard,completed,married,sometimes,no,3.0,school_bus,> 10,85,83,85,medium
235,male,group D,associate's degree,standard,none,married,regularly,no,1.0,school_bus,> 10,84,77,80,medium
236,male,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,2.0,school_bus,< 5,62,65,67,low
237,female,group D,some high school,standard,,married,sometimes,yes,4.0,school_bus,< 5,62,59,72,low
238,male,group B,some college,standard,none,married,regularly,yes,2.0,private,> 10,57,53,53,low
239,male,group C,associate's degree,standard,none,,sometimes,yes,1.0,private,5 - 10,84,80,80,medium
240,male,group D,high school,free/reduced,completed,divorced,,yes,1.0,private,> 10,75,69,67,medium
241,female,group E,bachelor's degree,standard,none,single,regularly,no,4.0,private,5 - 10,82,84,85,medium
243,male,group E,some college,standard,,single,regularly,no,2.0,school_bus,< 5,58,50,43,low
244,male,group D,some high school,standard,none,divorced,regularly,yes,1.0,school_bus,< 5,74,73,69,medium
245,male,group C,associate's degree,standard,none,married,sometimes,no,3.0,private,< 5,82,74,69,medium
246,male,group E,associate's degree,standard,,married,regularly,no,2.0,school_bus,5 - 10,91,77,75,medium
247,female,group B,high school,standard,completed,single,sometimes,yes,1.0,private,5 - 10,58,70,68,low
248,female,group B,high school,standard,none,married,sometimes,yes,2.0,private,< 5,63,63,60,low
249,male,,high school,standard,none,married,sometimes,no,2.0,school_bus,> 10,70,60,54,low
250,male,group A,some high school,standard,completed,single,sometimes,yes,2.0,school_bus,5 - 10,47,49,49,low
251,female,group D,some college,free/reduced,none,married,regularly,,4.0,school_bus,< 5,70,82,83,medium
252,female,group B,some high school,standard,completed,single,sometimes,yes,3.0,private,5 - 10,60,70,70,low
253,male,group D,master's degree,standard,none,married,sometimes,no,3.0,school_bus,,80,80,72,medium
254,male,group D,high school,standard,none,married,sometimes,yes,0.0,private,5 - 10,54,52,52,low
255,female,group E,some college,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,62,73,70,low
256,female,group C,associate's degree,free/reduced,none,single,sometimes,no,5.0,private,< 5,62,71,66,low
257,male,,associate's degree,standard,completed,married,regularly,,1.0,school_bus,5 - 10,80,78,78,medium
260,female,group C,some high school,free/reduced,completed,married,sometimes,yes,1.0,private,> 10,65,80,78,medium
261,male,group C,some college,standard,completed,married,sometimes,no,2.0,school_bus,5 - 10,79,79,78,medium
262,female,group C,some high school,free/reduced,none,married,regularly,no,2.0,private,5 - 10,45,50,52,low
263,female,group E,high school,standard,none,single,sometimes,yes,1.0,private,5 - 10,99,93,90,high
264,male,group D,high school,standard,none,married,sometimes,no,2.0,private,5 - 10,76,73,68,medium
265,male,group D,some high school,free/reduced,none,divorced,sometimes,no,1.0,school_bus,< 5,57,41,40,low
266,female,,bachelor's degree,standard,none,married,sometimes,no,2.0,school_bus,< 5,61,73,79,medium
267,female,group D,high school,standard,none,married,regularly,no,3.0,school_bus,5 - 10,71,73,78,medium
268,female,group D,associate's degree,standard,completed,married,regularly,yes,5.0,school_bus,> 10,93,94,99,high
269,female,group E,some college,free/reduced,none,married,sometimes,no,2.0,school_bus,,71,76,70,medium
270,male,group C,bachelor's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,69,63,61,low
271,male,group C,some college,standard,,single,regularly,yes,1.0,,< 5,57,48,42,low
272,female,group D,associate's degree,free/reduced,none,single,regularly,yes,2.0,private,5 - 10,48,53,59,low
273,female,group D,some college,standard,none,married,sometimes,no,2.0,private,5 - 10,65,70,71,low
274,male,group B,some college,standard,completed,widowed,,yes,1.0,school_bus,< 5,85,83,74,medium
275,male,group C,bachelor's degree,standard,none,married,sometimes,no,3.0,school_bus,5 - 10,83,78,73,medium
276,female,group C,some high school,standard,completed,married,sometimes,yes,3.0,private,< 5,82,90,91,high
277,female,group E,,standard,completed,single,sometimes,no,4.0,school_bus,< 5,57,62,73,low
278,female,group C,some high school,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,65,86,80,medium
279,male,group B,bachelor's degree,free/reduced,none,widowed,sometimes,no,2.0,school_bus,5 - 10,73,56,57,low
281,male,group D,high school,standard,none,divorced,sometimes,no,,private,5 - 10,45,48,46,low
282,female,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,3.0,school_bus,5 - 10,75,80,86,medium
283,female,group D,some college,free/reduced,completed,,never,yes,2.0,school_bus,5 - 10,67,76,76,medium
284,female,,some high school,standard,none,married,regularly,yes,0.0,private,< 5,36,45,46,low
285,male,group B,associate's degree,standard,completed,married,never,yes,3.0,school_bus,5 - 10,78,80,79,medium
286,male,group E,associate's degree,standard,completed,married,regularly,yes,0.0,private,5 - 10,99,83,90,high
287,female,group B,some high school,standard,none,married,sometimes,no,1.0,school_bus,< 5,64,87,80,medium
288,male,group B,bachelor's degree,free/reduced,none,single,sometimes,yes,0.0,,< 5,85,73,74,medium
289,male,,some high school,standard,completed,married,sometimes,yes,1.0,school_bus,> 10,79,77,78,medium
290,male,group C,associate's degree,standard,none,married,sometimes,no,2.0,school_bus,5 - 10,76,70,68,medium
291,male,group D,some high school,standard,none,married,sometimes,yes,2.0,private,< 5,83,71,68,medium
292,male,group C,some high school,standard,completed,married,never,yes,1.0,private,5 - 10,61,59,55,low
293,female,group E,bachelor's degree,standard,none,married,sometimes,yes,,school_bus,> 10,66,74,76,medium
294,male,group D,high school,free/reduced,completed,single,regularly,yes,3.0,school_bus,5 - 10,80,78,82,medium
295,male,group B,associate's degree,free/reduced,none,married,never,yes,1.0,school_bus,> 10,66,61,59,low
296,male,,some high school,standard,completed,widowed,regularly,no,2.0,school_bus,5 - 10,47,41,44,low
297,male,,associate's degree,standard,completed,single,regularly,no,1.0,school_bus,5 - 10,73,75,69,medium
298,male,group C,,free/reduced,completed,single,regularly,no,2.0,private,< 5,39,45,50,low
299,male,group D,associate's degree,free/reduced,none,married,regularly,no,2.0,,< 5,89,86,75,medium
300,male,group A,some college,free/reduced,completed,married,never,yes,2.0,private,< 5,76,75,77,medium
301,male,group D,some high school,free/reduced,,divorced,regularly,no,4.0,school_bus,< 5,55,53,52,low
302,female,group C,associate's degree,standard,completed,single,never,yes,5.0,school_bus,> 10,66,83,80,medium
303,male,group B,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,82,77,65,medium
304,female,group C,associate's degree,standard,completed,married,regularly,yes,2.0,school_bus,5 - 10,76,76,85,medium
305,male,group A,some college,standard,none,,sometimes,yes,7.0,private,5 - 10,69,67,69,low
306,male,group E,some college,standard,completed,divorced,regularly,yes,5.0,private,5 - 10,100,88,83,high
307,male,group C,some high school,standard,none,single,regularly,no,2.0,,5 - 10,52,52,45,low
